,id,title,image,imageType
0,782585,Cannellini Bean and Asparagus Salad with Mushrooms,https://spoonacular.com/recipeImages/782585-312x231.jpg,jpg
1,716426,"Cauliflower, Brown Rice, and Vegetable Fried Rice",https://spoonacular.com/recipeImages/716426-312x231.jpg,jpg
2,715497,Berry Banana Breakfast Smoothie,https://spoonacular.com/recipeImages/715497-312x231.jpg,jpg
3,715415,Red Lentil Soup with Chicken and Turnips,https://spoonacular.com/recipeImages/715415-312x231.jpg,jpg
4,716406,Asparagus and Pea Soup: Real Convenience Food,https://spoonacular.com/recipeImages/716406-312x231.jpg,jpg
5,644387,Garlicky Kale,https://spoonacular.com/recipeImages/644387-312x231.jpg,jpg
6,715446,Slow Cooker Beef Stew,https://spoonacular.com/recipeImages/715446-312x231.jpg,jpg
7,782601,Red Kidney Bean Jambalaya,https://spoonacular.com/recipeImages/782601-312x231.jpg,jpg
8,795751,Chicken Fajita Stuffed Bell Pepper,https://spoonacular.com/recipeImages/795751-312x231.jpg,jpg
9,766453,Hummus and Za'atar,https://spoonacular.com/recipeImages/766453-312x231.jpg,jpg
10,716627,Easy Homemade Rice and Beans,https://spoonacular.com/recipeImages/716627-312x231.jpg,jpg
11,664147,Tuscan White Bean Soup with Olive Oil and Rosemary,https://spoonacular.com/recipeImages/664147-312x231.jpg,jpg
12,640941,Crunchy Brussels Sprouts Side Dish,https://spoonacular.com/recipeImages/640941-312x231.jpg,jpg
13,715495,Turkey Tomato Cheese Pizza,https://spoonacular.com/recipeImages/715495-312x231.jpg,jpg
14,794349,Broccoli and Chickpea Rice Salad,https://spoonacular.com/recipeImages/794349-312x231.jpg,jpg
15,716381,Nigerian Snail Stew,https://spoonacular.com/recipeImages/716381-312x231.jpg,jpg
16,660306,Slow Cooker: Pork and Garbanzo Beans,https://spoonacular.com/recipeImages/660306-312x231.jpg,jpg
17,756814,Powerhouse Almond Matcha Superfood Smoothie,https://spoonacular.com/recipeImages/756814-312x231.jpg,jpg
18,715769,Broccolini Quinoa Pilaf,https://spoonacular.com/recipeImages/715769-312x231.jpg,jpg
19,642129,Easy To Make Spring Rolls,https://spoonacular.com/recipeImages/642129-312x231.jpg,jpg
20,642605,Farro With Mushrooms and Asparagus,https://spoonacular.com/recipeImages/642605-312x231.jpg,jpg
21,636589,Butternut Squash Frittata,https://spoonacular.com/recipeImages/636589-312x231.jpg,jpg
22,646738,Herbivoracious' White Bean and Kale Soup,https://spoonacular.com/recipeImages/646738-312x231.jpg,jpg
23,715540,Summer Berry Salad,https://spoonacular.com/recipeImages/715540-312x231.jpg,jpg
24,663559,Tomato and lentil soup,https://spoonacular.com/recipeImages/663559-312x231.jpg,jpg
25,662670,Swiss Chard Wraps,https://spoonacular.com/recipeImages/662670-312x231.jpg,jpg
26,640062,Corn Avocado Salsa,https://spoonacular.com/recipeImages/640062-312x231.jpg,jpg
27,715421,Cheesy Chicken Enchilada Quinoa Casserole,https://spoonacular.com/recipeImages/715421-312x231.jpg,jpg
28,648320,Jade Buddha Salmon Tartare,https://spoonacular.com/recipeImages/648320-312x231.jpg,jpg
29,716432,Finger Foods: Frittata Muffins,https://spoonacular.com/recipeImages/716432-312x231.jpg,jpg
30,798400,Spicy Black-Eyed Pea Curry with Swiss Chard and Roasted Eggplant,https://spoonacular.com/recipeImages/798400-312x231.jpg,jpg
31,782600,Quinoa Salad with Vegetables and Cashews,https://spoonacular.com/recipeImages/782600-312x231.jpg,jpg
32,652417,Moroccan chickpea and lentil stew,https://spoonacular.com/recipeImages/652417-312x231.jpg,jpg
33,639535,Citrusy Pecan Garbanzo Couscous: A Salad For Cold Weather,https://spoonacular.com/recipeImages/639535-312x231.jpg,jpg
34,729366,Plantain Salad,https://spoonacular.com/recipeImages/729366-312x231.jpg,jpg
35,661925,Strawberry-Mango Quinoa Salad,https://spoonacular.com/recipeImages/661925-312x231.jpg,jpg
36,794538,Almond Joy Protein Shake,https://spoonacular.com/recipeImages/794538-312x231.jpg,jpg
37,649931,Lentil Salad With Vegetables,https://spoonacular.com/recipeImages/649931-312x231.jpg,jpg
38,636787,Caldo Verde - Portuguese Kale Soup,https://spoonacular.com/recipeImages/636787-312x231.jpg,jpg
39,641975,Easy Ginger Beef Broccoli,https://spoonacular.com/recipeImages/641975-312x231.jpg,jpg
40,652423,Moroccan Couscous and Chickpea Salad,https://spoonacular.com/recipeImages/652423-312x231.jpg,jpg
41,715447,Easy Vegetable Beef Soup,https://spoonacular.com/recipeImages/715447-312x231.jpg,jpg
42,716311,Mango Fried Rice,https://spoonacular.com/recipeImages/716311-312x231.jpg,jpg
43,715543,Homemade Guacamole,https://spoonacular.com/recipeImages/715543-312x231.jpg,jpg
44,157344,"Spicy Salad with Kidney Beans, Cheddar, and Nuts",https://spoonacular.com/recipeImages/157344-312x231.jpg,jpg
45,658509,Roasted Broccoli with Lemon and Garlic,https://spoonacular.com/recipeImages/658509-312x231.jpg,jpg
46,716195,Spicy Indian-Style Hummus,https://spoonacular.com/recipeImages/716195-312x231.jpg,jpg
47,716361,"Stir Fried Quinoa, Brown Rice and Chicken Breast",https://spoonacular.com/recipeImages/716361-312x231.jpg,jpg
48,765011,Snap Pea and Green Bean Salad with Arugula Pesto,https://spoonacular.com/recipeImages/765011-312x231.jpg,jpg
49,660228,Skinny Kale Basil Pesto,https://spoonacular.com/recipeImages/660228-312x231.jpg,jpg
50,716408,"Greek-Style Baked Fish: Fresh, Simple, and Delicious",https://spoonacular.com/recipeImages/716408-312x231.jpg,jpg
51,661340,Spinach Salad with Strawberry Vinaigrette,https://spoonacular.com/recipeImages/661340-312x231.jpg,jpg
52,782622,Chocolate Peanut Butter Cinnamon Smoothie,https://spoonacular.com/recipeImages/782622-312x231.png,png
53,715424,The Best Chili,https://spoonacular.com/recipeImages/715424-312x231.jpg,jpg
54,659135,Salmon with roasted vegetables,https://spoonacular.com/recipeImages/659135-312x231.jpg,jpg
55,639851,Cod with Tomato-Olive-Chorizo Sauce and Mashed Potatoes,https://spoonacular.com/recipeImages/639851-312x231.jpg,jpg
56,664547,Vegetable Dip,https://spoonacular.com/recipeImages/664547-312x231.jpg,jpg
57,633921,Balsamic & Honey Glazed Salmon with Lemony Asparagus,https://spoonacular.com/recipeImages/633921-312x231.jpg,jpg
58,658579,"Roasted Endive Salad With Prosciutto, Figs and Pistachios",https://spoonacular.com/recipeImages/658579-312x231.jpg,jpg
59,715385,Slow Cooker Baked Potato Soup,https://spoonacular.com/recipeImages/715385-312x231.jpg,jpg
60,641057,Curried Butternut Squash and Apple Soup,https://spoonacular.com/recipeImages/641057-312x231.jpg,jpg
61,655575,Penne Pasta with Broccoli and Cheese,https://spoonacular.com/recipeImages/655575-312x231.jpg,jpg
62,632269,Amaranth and Roast Veggie Salad,https://spoonacular.com/recipeImages/632269-312x231.jpg,jpg
63,637162,Carrot and Cabbage Salad With Coriander+cumin Dry Rub,https://spoonacular.com/recipeImages/637162-312x231.jpg,jpg
64,982371,Instant Pot Quinoa Grain Bowl,https://spoonacular.com/recipeImages/982371-312x231.jpg,jpg
65,1095753,Roasted Cauliflower Detox Bowl with Tahini Sauce,https://spoonacular.com/recipeImages/1095753-312x231.jpg,jpg
66,660405,Smoky Black Bean Soup With Sweet Potato & Kale,https://spoonacular.com/recipeImages/660405-312x231.jpg,jpg
67,715523,Chorizo and Beef Quinoa Stuffed Pepper,https://spoonacular.com/recipeImages/715523-312x231.jpg,jpg
68,632252,Alouette® Stuffed Mushroom Caps,https://spoonacular.com/recipeImages/632252-312x231.jpg,jpg
69,639891,Coffee-braised Short Ribs,https://spoonacular.com/recipeImages/639891-312x231.jpg,jpg
70,646651,Herb chicken with sweet potato mash and sautéed broccoli,https://spoonacular.com/recipeImages/646651-312x231.jpg,jpg
71,716330,Chicken and Mango Skewer,https://spoonacular.com/recipeImages/716330-312x231.jpg,jpg
72,640318,Crab Salad Stuffed Pita Pockets,https://spoonacular.com/recipeImages/640318-312x231.jpg,jpg
73,642085,Easy Roasted Vegetables,https://spoonacular.com/recipeImages/642085-312x231.jpg,jpg
74,716437,Chilled Cucumber Avocado Soup with Yogurt and Kefir,https://spoonacular.com/recipeImages/716437-312x231.jpg,jpg
75,664090,Turkish Chicken Salad with Home-made Cacik Yogurt Sauce,https://spoonacular.com/recipeImages/664090-312x231.jpg,jpg
76,636602,Butternut Squash Soup (In Half An Hour!),https://spoonacular.com/recipeImages/636602-312x231.jpg,jpg
77,716276,Doughnuts,https://spoonacular.com/recipeImages/716276-312x231.jpg,jpg
78,649944,Lentil Mango Salad,https://spoonacular.com/recipeImages/649944-312x231.jpg,jpg
79,646043,Gujarati Dry Mung Bean Curry,https://spoonacular.com/recipeImages/646043-312x231.jpg,jpg
80,634437,Basil Tagliatelle with Roasted Red Bell Pepper Salad,https://spoonacular.com/recipeImages/634437-312x231.jpg,jpg
81,655235,Peanut Butter and Jelly Smoothie,https://spoonacular.com/recipeImages/655235-312x231.jpg,jpg
82,652393,Moosewood Lentil Soup,https://spoonacular.com/recipeImages/652393-312x231.jpg,jpg
